Category,Item,Specification,Unit,Quantity,Basis/Notes
Materials,Desiccant Packs,Moisture control for enclosures,Each,12,Changeable; 4 per JB with spares
Materials,Sealants/Compounds,IP-rated sealing compounds for entries,Cartridge,6,Allowance
Materials,Cable Lubricant,Approved pulling lubricant,Bottle,6,Allowance for pulls
Materials,Mechanical Protection at Pit Exits,Grommets/bushings/rub blocks,Set,6,Allowance for exits and bends
Materials,Portable Earths,Rated for prospective fault current,Set,2,For isolation safety during works
Materials,Padlocks & LOTO Hasps,For LOTO kits,Set,2,Site safety equipment
Materials,Warning Signage,Electrical hazard and identification signage,Set,3,Per pit/JB

Tools/Equipment,Hydraulic Crimper + Die Set,12–400 mm² range; calibrated; with dielist,Each,1,Installation tooling
Tools/Equipment,Heat Gun/Heat Blower,Industrial grade with temp control,Each,2,For heat-shrink terminations
Tools/Equipment,Torque Wrench Set,Range 5–200 Nm with calibration,Set,2,For terminations per torque log
Tools/Equipment,Capstan Winch,With controlled speed,Each,1,Cable pulls
Tools/Equipment,Inline Dynamometer,Tension measurement 0–5 kN (or as needed),Each,1,Record pulling tension
Tools/Equipment,Spindle Stands/Drum Jacks,Rated for drum mass; with brake,Pair,2,For 2 drums concurrently
Tools/Equipment,Cable Rollers & Corner Blocks,Heavy-duty, Set,Set,2,Pulling route control
Tools/Equipment,OTDR (for FO scope interface),1310/1550 nm; event/IL analysis,Each,1,If FO checks needed near electrical scope
Tools/Equipment,Megger (IR Tester),5 kV DC insulation tester; calibrated,Each,1,IR testing
Tools/Equipment,VLF Test Set,0.1 Hz, suitable for 12/20 kV class; calibrated,Each,1,Withstand testing @ 2×U0
Tools/Equipment,Earth Tester,Clamp or 3-point method instrument; calibrated,Each,1,Earthing tests
Tools/Equipment,Secondary Injection Test Set,Protection relay testing; calibrated,Each,1,Protection verification
Tools/Equipment,Thermal Camera,320x240 or better; calibrated,Each,1,Post-energization scan
Tools/Equipment,Confined Space Gas Detector,4-gas monitor; calibrated,Each,1,For pit entry safety
Tools/Equipment,LOTO Kit,Hasps, tags, locks, testers,Set,2,Safety
Tools/Equipment,Lifting Slings/Spreader,Rated slings and spreader bar,Set,2,For drum/enclosure lifts
Tools/Equipment,Hand Tools Set,Insulated tools: cutters, strippers, spanners,Set,2,General installation
